"id","fecha","vendedor","ciudad","categoria","producto","cantidad","precio_unitario","ingreso_total","canal_venta","satisfaccion_cliente"
"1","2024-01-05","Ana Torres","Bogotá","Electrónica","Laptop","2","2500000","5000000","Online","4.5"
"2","2024-01-07","Carlos Ríos","Medellín","Ropa","Camiseta","10","45000","450000","Tienda","3.8"
"3","2024-01-10","María López","Cali","Alimentos","Café Premium","5","32000","160000","Online","5.0"
"4","2024-01-12","Pedro Gómez","Barranquilla","Electrónica","Audífonos","3","180000","540000","Tienda","4.2"
"5","2024-01-15","Ana Torres","Bogotá","Hogar","Licuadora","1","320000","320000","Online","4.7"
"6","2024-01-18","Carlos Ríos","Medellín","Electrónica","Tablet","2","1200000","2400000","Tienda","4.0"
"7","2024-01-20","Laura Díaz","Cali","Ropa","Zapatos","4","210000","840000","Online","3.5"
"8","2024-01-22","Pedro Gómez","Bogotá","Alimentos","Granola","8","28000","224000","Tienda","4.1"
"9","2024-01-25","María López","Barranquilla","Hogar","Ventilador","2","95000","190000","Online","3.9"
"10","2024-02-02","Laura Díaz","Medellín","Electrónica","Celular","1","1800000","1800000","Tienda","4.8"
"11","05/02/2024","Ana Torres","Bogotá","Electrónica","Laptop","3","2500000","7500000","Online","4.3"
"12","2024/02/10","Carlos Ríos","Medellín","Ropa","Jeans","6","120000","720000","Tienda","4.0"
"13","February 15 2024","Pedro Gómez","Cali","Alimentos","Café Premium","4","32000","128000","Online","3.7"
"14","2024-02-18","Laura Díaz","BOGOTÁ","Hogar","Licuadora","2","320000","640000","Tienda","4.5"
"15","2024-02-20","María López","bogota","Electrónica","Audífonos","5","180000","900000","Online","4.2"
"16","2024-02-22","Ana Torres","Medellin","Ropa","Camiseta","12","45000","540000","Tienda","3.6"
"17","2024-02-25","Carlos Ríos","CALI","Electrónica","Tablet","1","1200000","1200000","Online","4.9"
"18","2024-03-01","Pedro Gómez","","Alimentos","Granola","3","28000","84000","Tienda","4.0"
"19","2024-03-03","","Barranquilla","Electrónica","Laptop","1","2500000","2500000","Online","4.6"
"20","2024-03-05","Laura Díaz","Bogotá","","Licuadora","2","320000","640000","Tienda","3.8"
"21","2024-03-08","María López","Medellín","Hogar","Ventilador","","95000","","Online","4.1"
"22","2024-03-10","Ana Torres","Cali","Ropa","Zapatos","3","","630000","Tienda","null"
"23","2024-03-12","Carlos Ríos","Bogotá","Electrónica","Celular","2","$1.800.000","$3.600.000","Online","4.5"
"24","2024-03-15","Pedro Gómez","Barranquilla","Alimentos","Café Premium","6","32,000","192,000","Tienda","4.3"
"25","2024-03-18","Laura Díaz","Medellín","Ropa","Jeans","4","120.000","480.000","Online","3.9"
"26","2024-03-20","Ana Torres","Bogotá","Electrónica","Laptop","2","2500000","5000000","Online","4.5"
"27","2024-03-20","Ana Torres","Bogotá","Electrónica","Laptop","2","2500000","5000000","Online","4.5"
"28","2024-03-22","María López","Cali","Alimentos","Café Premium","5","32000","160000","Online","5.0"
"29","2024-03-22","María López","Cali","Alimentos","Café Premium","5","32000","160000","Online","5.0"
"30","2024-04-01","Carlos Ríos","Bogotá","Hogar","Licuadora","3","320000","960000","online","4.2"
"31","2024-04-03","Pedro Gómez","Medellín","Electrónica","Audífonos","7","180000","1260000","TIENDA","3.7"
"32","2024-04-05","Laura Díaz","Cali","Ropa","Camiseta","15","45000","675000","e-commerce","4.0"
"33","2024-04-08","Ana Torres","Barranquilla","Alimentos","Granola","4","28000","112000","fisica","4.4"
"34","2024-04-10","María López","Bogotá","Electrónica","Celular","2","1800000","3600000","Online","8.0"
"35","2024-04-12","Carlos Ríos","Medellín","Hogar","Ventilador","3","95000","285000","Tienda","-1"
"36","2024-04-15","Pedro Gómez","Cali","Ropa","Zapatos","2","210000","420000","Online","0"
"37","2024-04-18","Laura Díaz","Bogotá","Electrónica","Tablet","1","1200000","1200000","Online","4.7"
"38","2024-04-20","Ana Torres","Medellín","Alimentos","Café Premium","10","32000","320000","Tienda","4.9"
"39","2024-04-22","María López","Barranquilla","Ropa","Jeans","3","120000","360000","Online","4.1"
"40","2024-05-01","Carlos Ríos","Bogotá","Electrónica","Laptop","1","2500000","2500000","Tienda","4.6"
"41","2024-05-05","Pedro Gómez","Cali","Hogar","Licuadora","2","320000","640000","Online","3.8"
"42","2024-05-08","Laura Díaz","Barranquilla","Electrónica","Audífonos","4","180000","720000","Tienda","4.3"
"43","2024-05-12","Ana Torres","Medellín","Alimentos","Granola","6","28000","168000","Online","4.5"
"44","2024-05-15","María López","Bogotá","Ropa","Camiseta","8","45000","360000","Tienda","4.0"
"45","2024-05-18","Carlos Ríos","Cali","Electrónica","Celular","2","1800000","3600000","Online","4.8"
"46","2024-05-20","Pedro Gómez","Medellín","Hogar","Ventilador","5","95000","475000","Tienda","3.9"
"47","2024-05-22","Laura Díaz","Bogotá","Ropa","Zapatos","3","210000","630000","Online","4.2"
"48","2024-06-01","Ana Torres","Barranquilla","Electrónica","Tablet","2","1200000","2400000","Tienda","4.6"
"49","2024-06-05","María López","Cali","Alimentos","Café Premium","7","32000","224000","Online","4.7"
